"tissue","assay","feature_id","gene_symbol","platform","contrast_type","contrast_category","Timepoint","logFC","CI.L_calculated","CI.R_calculated","p_value","adj_p_value"
"blood","prot-ol","OID20101","IL6",NA,"Endur_vs_Resist","EE-RE","post_24_hr",0.0896226094395647,-0.617843273251924,0.797088492131053,0.802806552649958,0.949563343159425
"blood","prot-ol","OID20101","IL6",NA,"exercise_with_controls","EE-CON","post_10_min",0.32227350072999,-0.267446122551981,0.911993124011961,0.282083688757282,0.786744953895692
"blood","prot-ol","OID20101","IL6",NA,"exercise_with_controls","EE-CON","post_24_hr",0.274060191979191,-0.445091296509195,0.993211680467577,0.452829798555696,0.986437074865836
"blood","prot-ol","OID20101","IL6",NA,"exercise_with_controls","EE-CON","during_40_min",0.178861272172516,-0.424375598009962,0.782098142354994,0.558990863644051,0.73680020608282
"blood","prot-ol","OID20101","IL6",NA,"Endur_vs_Resist","EE-RE","post_15_30_45_min",-0.0887222281287154,-0.636648371958645,0.459203915701214,0.749542749352054,0.9962271718238
"blood","prot-ol","OID20101","IL6",NA,"exercise_with_controls","RE-CON","post_3.5_4_hr",-0.858868225488269,-1.54807040855468,-0.169666042421859,0.0149068415691741,0.182535648068065
"blood","prot-ol","OID20101","IL6",NA,"exercise_with_controls","EE-CON","post_15_30_45_min",0.214352771871284,-0.386764492265487,0.815470036008055,0.48229953686953,0.894767619118963
"blood","prot-ol","OID20101","IL6",NA,"exercise_with_controls","EE-CON","during_20_min",-0.105669356412867,-0.695388979694941,0.484050266869207,0.723888179999203,0.870016582747134
"blood","prot-ol","OID20101","IL6",NA,"Endur_vs_Resist","EE-RE","post_3.5_4_hr",0.37121887146248,-0.365822001466455,1.10825974439142,0.321447781447885,0.988378319957115
"blood","prot-ol","OID20101","IL6",NA,"exercise_with_controls","RE-CON","post_10_min",0.231796567463569,-0.329443255488705,0.793036390415844,0.415900735861909,0.745045945279803
"blood","prot-ol","OID20101","IL6",NA,"Endur_vs_Resist","EE-RE","post_10_min",0.090476933266421,-0.453561963797109,0.634515830329951,0.743006687979118,0.954524457721134
